ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
11446-0312-1.zip,202502031219,南埼玉郡菖蒲町,地区外-1280337,,
11446-0312-1.zip,202502031219,南埼玉郡菖蒲町,地区外-1280338,,
11446-0312-1.zip,202502031219,南埼玉郡菖蒲町,地区外-1280339,,
11446-0312-1.zip,202502031219,南埼玉郡菖蒲町,地区外-1280340,,
11446-0312-1.zip,202502031219,南埼玉郡菖蒲町,地区外-1280341,,
11446-0312-1.zip,202502031219,南埼玉郡菖蒲町,地区外-1280342,,
11446-0312-1.zip,202502031219,南埼玉郡菖蒲町,地区外-1280343,,
11446-0312-1.zip,202502031219,南埼玉郡菖蒲町,地区外-1280344,,
11446-0312-2.zip,202502031219,南埼玉郡菖蒲町,地区外-1290520,,
11446-0312-3.zip,202502031219,南埼玉郡菖蒲町,地区外-1292060,,
11446-0312-3.zip,202502031219,南埼玉郡菖蒲町,地区外-1292061,,
11446-0312-3.zip,202502031219,南埼玉郡菖蒲町,地区外-1292062,,
11446-0312-3.zip,202502031219,南埼玉郡菖蒲町,地区外-1292063,,
11446-0312-3.zip,202502031219,南埼玉郡菖蒲町,地区外-1292064,,
11446-0312-3.zip,202502031219,南埼玉郡菖蒲町,地区外-1292065,,
11446-0312-4.zip,202502031219,南埼玉郡菖蒲町,地区外-1294099,,
11446-0312-4.zip,202502031219,南埼玉郡菖蒲町,地区外-1294100,,
11446-0312-4.zip,202502031219,南埼玉郡菖蒲町,地区外-1294101,,
11446-0312-4.zip,202502031219,南埼玉郡菖蒲町,地区外-1294102,,
11446-0312-5.zip,202502031219,南埼玉郡菖蒲町,地区外-1295817,,
11446-0312-5.zip,202502031219,南埼玉郡菖蒲町,地区外-1295818,,
11446-0312-6.zip,202502031219,南埼玉郡菖蒲町大字新堀,780-2,,
11446-0312-7.zip,202502031219,南埼玉郡菖蒲町大字新堀,2780,,
11446-0312-7.zip,202502031219,南埼玉郡菖蒲町大字新堀,2959,,
11446-0312-7.zip,202502031219,南埼玉郡菖蒲町大字新堀,3080,,
11446-0312-7.zip,202502031219,南埼玉郡菖蒲町大字新堀,1246,,
11446-0312-7.zip,202502031219,南埼玉郡菖蒲町大字新堀,1562,,
11446-0312-7.zip,202502031219,南埼玉郡菖蒲町大字新堀,2444,,
11446-0312-7.zip,202502031219,南埼玉郡菖蒲町大字新堀,2445,,
11446-0312-7.zip,202502031219,南埼玉郡菖蒲町大字新堀,2672,,
11446-0312-7.zip,202502031219,南埼玉郡菖蒲町大字新堀,1349-2,,
11446-0312-8.zip,202502031219,南埼玉郡菖蒲町,地区外-4928122,,
11446-0312-8.zip,202502031219,南埼玉郡菖蒲町,地区外-4928123,,
11446-0312-8.zip,202502031219,南埼玉郡菖蒲町,地区外-4928124,,
11446-0312-9.zip,202502031219,南埼玉郡菖蒲町大字下栢間,1353-2,,
11446-0312-9.zip,202502031219,南埼玉郡菖蒲町大字下栢間,1354-1,,
11446-0312-9.zip,202502031219,南埼玉郡菖蒲町大字下栢間,1354-3,,
11446-0312-9.zip,202502031219,南埼玉郡菖蒲町大字下栢間,1355-2,,
11446-0312-9.zip,202502031219,南埼玉郡菖蒲町大字下栢間,1356-2,,
11446-0312-9.zip,202502031219,南埼玉郡菖蒲町大字下栢間,1480-2,,
11446-0312-9.zip,202502031219,南埼玉郡菖蒲町大字下栢間,1481-3,,
11446-0312-9.zip,202502031219,南埼玉郡菖蒲町大字下栢間,1482-3,,
11446-0312-9.zip,202502031219,南埼玉郡菖蒲町大字下栢間,1586-5,,
11446-0312-9.zip,202502031219,南埼玉郡菖蒲町大字下栢間,1586-6,,
11446-0312-9.zip,202502031219,南埼玉郡菖蒲町大字下栢間,1587-3,,
11446-0312-9.zip,202502031219,南埼玉郡菖蒲町大字下栢間,2183-内,,
11446-0312-9.zip,202502031219,南埼玉郡菖蒲町大字下栢間,2888-2,,
11446-0312-9.zip,202502031219,南埼玉郡菖蒲町大字下栢間,2957-6,,
11446-0312-10.zip,202502031219,南埼玉郡菖蒲町大字下栢間,668-3,,
11446-0312-10.zip,202502031219,南埼玉郡菖蒲町大字下栢間,668-4W1,,
11446-0312-10.zip,202502031219,南埼玉郡菖蒲町大字下栢間,668-4W2,,
11446-0312-10.zip,202502031219,南埼玉郡菖蒲町大字下栢間,679-3,,
11446-0312-10.zip,202502031219,南埼玉郡菖蒲町大字下栢間,862-2,,
11446-0312-10.zip,202502031219,南埼玉郡菖蒲町大字下栢間,420,,
11446-0312-10.zip,202502031219,南埼玉郡菖蒲町大字下栢間,474-5,,
11446-0312-10.zip,202502031219,南埼玉郡菖蒲町大字下栢間,526-3,,
11446-0312-10.zip,202502031219,南埼玉郡菖蒲町大字下栢間,528-3,,
11446-0312-10.zip,202502031219,南埼玉郡菖蒲町大字下栢間,565-1,,
11446-0312-10.zip,202502031219,南埼玉郡菖蒲町大字下栢間,580-1,,
11446-0312-10.zip,202502031219,南埼玉郡菖蒲町大字下栢間,2236,,
11446-0312-10.zip,202502031219,南埼玉郡菖蒲町大字下栢間,2237,,
11446-0312-11.zip,202502031219,南埼玉郡菖蒲町大字三箇,330,,
11446-0312-11.zip,202502031219,南埼玉郡菖蒲町大字三箇,2512-2,,
11446-0312-11.zip,202502031219,南埼玉郡菖蒲町大字三箇,2516-4,,
11446-0312-11.zip,202502031219,南埼玉郡菖蒲町大字三箇,2633-2,,
11446-0312-11.zip,202502031219,南埼玉郡菖蒲町大字三箇,2633-3,,
11446-0312-11.zip,202502031219,南埼玉郡菖蒲町大字三箇,2515-2,,
11446-0312-12.zip,202502031219,南埼玉郡菖蒲町大字三箇,1375-7,,
11446-0312-12.zip,202502031219,南埼玉郡菖蒲町大字三箇,1548-1,,
11446-0312-12.zip,202502031219,南埼玉郡菖蒲町大字三箇,1548-2,,
11446-0312-12.zip,202502031219,南埼玉郡菖蒲町大字三箇,117-2,,
11446-0312-12.zip,202502031219,南埼玉郡菖蒲町大字三箇,1709-3,,
11446-0312-13.zip,202502031219,南埼玉郡菖蒲町大字柴山枝郷,1415,,
11446-0312-13.zip,202502031219,南埼玉郡菖蒲町大字柴山枝郷,1901,,
11446-0312-14.zip,202502031219,南埼玉郡菖蒲町大字柴山枝郷,42-6,,
11446-0312-14.zip,202502031219,南埼玉郡菖蒲町大字柴山枝郷,42-7,,
11446-0312-14.zip,202502031219,南埼玉郡菖蒲町大字柴山枝郷,70-2,,
11446-0312-14.zip,202502031219,南埼玉郡菖蒲町大字柴山枝郷,181-2,,
11446-0312-14.zip,202502031219,南埼玉郡菖蒲町大字柴山枝郷,189-3,,
11446-0312-14.zip,202502031219,南埼玉郡菖蒲町大字柴山枝郷,1175-2,,
11446-0312-14.zip,202502031219,南埼玉郡菖蒲町大字柴山枝郷,1193-2,,
11446-0312-15.zip,202502031219,南埼玉郡菖蒲町大字小林,1093-4,,
11446-0312-15.zip,202502031219,南埼玉郡菖蒲町大字小林,2905,,
11446-0312-15.zip,202502031219,南埼玉郡菖蒲町大字小林,8601,,
11446-0312-16.zip,202502031219,南埼玉郡菖蒲町大字小林,3275,,
11446-0312-16.zip,202502031219,南埼玉郡菖蒲町大字小林,6010-8,,
11446-0312-16.zip,202502031219,南埼玉郡菖蒲町大字小林,6007-3,,
11446-0312-16.zip,202502031219,南埼玉郡菖蒲町大字小林,6019-3,,
11446-0312-16.zip,202502031219,南埼玉郡菖蒲町大字小林,6032-3,,
11446-0312-16.zip,202502031219,南埼玉郡菖蒲町大字小林,6039-3,,
11446-0312-16.zip,202502031219,南埼玉郡菖蒲町大字小林,6024-3,,
11446-0312-17.zip,202502031219,南埼玉郡菖蒲町大字小林,1751-2,,
11446-0312-17.zip,202502031219,南埼玉郡菖蒲町大字小林,1831-4,,
11446-0312-17.zip,202502031219,南埼玉郡菖蒲町大字小林,1875,,
11446-0312-17.zip,202502031219,南埼玉郡菖蒲町大字小林,3738,,
11446-0312-17.zip,202502031219,南埼玉郡菖蒲町大字小林,4350,,
11446-0312-18.zip,202502031219,南埼玉郡菖蒲町大字小林,2575-4,,
11446-0312-18.zip,202502031219,南埼玉郡菖蒲町,地区外-4981318,,
11446-0312-18.zip,202502031219,南埼玉郡菖蒲町,地区外-4981319,,
11446-0312-18.zip,202502031219,南埼玉郡菖蒲町,地区外-4981320,,
11446-0312-19.zip,202502031219,南埼玉郡菖蒲町大字小林,1351,,
11446-0312-19.zip,202502031219,南埼玉郡菖蒲町大字小林,4240-4,,
11446-0312-19.zip,202502031219,南埼玉郡菖蒲町大字小林,1914-2,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,88-3・88-4・88-5合併,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,355-3,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,474,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,475,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,3795,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,3799-3,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,3854,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,4561,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,4706-2,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,771,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,806,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,1026-2W1,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,1092-3,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,1247-3,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,1258,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,1261,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,1267,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,1399,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,1401,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,1417,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,1460,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,1616,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,1617,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,1619,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,1620,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,1621,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,1631,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,1641,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,1642,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,1644,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,272-7,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,1400,,
11446-0312-20.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,無地番-1-1,,
11446-0312-21.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,2155,,
11446-0312-21.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,2213-1,,
11446-0312-21.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,2363,,
11446-0312-21.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,2512,,
11446-0312-21.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,2558-3,,
11446-0312-21.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,2611-4,,
11446-0312-21.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,2611-5,,
11446-0312-21.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,2619-3,,
11446-0312-21.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,2619-4,,
11446-0312-21.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,2620-3,,
11446-0312-21.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,2621-3,,
11446-0312-21.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,2621-4,,
11446-0312-21.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,2622-1,,
11446-0312-21.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,2622-3,,
11446-0312-21.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,2678-2,,
11446-0312-21.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,3065-1,,
11446-0312-21.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,3065-2,,
11446-0312-21.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,3232-2W1,,
11446-0312-21.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,2677-3,,
11446-0312-21.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,2264-2,,
11446-0312-21.zip,202502031219,南埼玉郡菖蒲町大字菖蒲,2264-1,,
11446-0312-22.zip,202502031219,南埼玉郡菖蒲町大字上栢間,4330,,
11446-0312-22.zip,202502031219,南埼玉郡菖蒲町大字上栢間,4331,,
11446-0312-22.zip,202502031219,南埼玉郡菖蒲町大字上栢間,4333,,
11446-0312-22.zip,202502031219,南埼玉郡菖蒲町大字上栢間,4334,,
11446-0312-22.zip,202502031219,南埼玉郡菖蒲町大字上栢間,4335,,
11446-0312-22.zip,202502031219,南埼玉郡菖蒲町大字上栢間,4352,,
11446-0312-22.zip,202502031219,南埼玉郡菖蒲町大字上栢間,4353,,
11446-0312-22.zip,202502031219,南埼玉郡菖蒲町大字上栢間,4354,,
11446-0312-22.zip,202502031219,南埼玉郡菖蒲町大字上栢間,4355,,
11446-0312-22.zip,202502031219,南埼玉郡菖蒲町大字上栢間,4356,,
11446-0312-23.zip,202502031219,南埼玉郡菖蒲町大字上栢間,5906-1,,
11446-0312-23.zip,202502031219,南埼玉郡菖蒲町大字上栢間,5742-3,,
11446-0312-23.zip,202502031219,南埼玉郡菖蒲町大字上栢間,5742-4,,
11446-0312-23.zip,202502031219,南埼玉郡菖蒲町大字上栢間,5742-5,,
11446-0312-24.zip,202502031219,南埼玉郡菖蒲町大字上栢間,2424-2,,
11446-0312-24.zip,202502031219,南埼玉郡菖蒲町大字上栢間,3038,,
11446-0312-24.zip,202502031219,南埼玉郡菖蒲町大字上栢間,3299-2,,
11446-0312-24.zip,202502031219,南埼玉郡菖蒲町大字上栢間,3718,,
11446-0312-24.zip,202502031219,南埼玉郡菖蒲町,地区外-5023115,,
11446-0312-24.zip,202502031219,南埼玉郡菖蒲町,地区外-5023116,,
11446-0312-24.zip,202502031219,南埼玉郡菖蒲町,地区外-5023117,,
11446-0312-24.zip,202502031219,南埼玉郡菖蒲町,地区外-5023118,,
11446-0312-24.zip,202502031219,南埼玉郡菖蒲町,地区外-5023119,,
11446-0312-24.zip,202502031219,南埼玉郡菖蒲町,地区外-5023120,,
11446-0312-24.zip,202502031219,南埼玉郡菖蒲町,地区外-5023121,,
11446-0312-25.zip,202502031219,南埼玉郡菖蒲町大字上大崎,205,,
11446-0312-26.zip,202502031219,南埼玉郡菖蒲町大字台,2414-2,,
11446-0312-27.zip,202502031219,南埼玉郡菖蒲町大字台,33-2,,
11446-0312-27.zip,202502031219,南埼玉郡菖蒲町大字台,207-3,,
11446-0312-27.zip,202502031219,南埼玉郡菖蒲町大字台,254-1,,
11446-0312-27.zip,202502031219,南埼玉郡菖蒲町大字台,277-2,,
11446-0312-27.zip,202502031219,南埼玉郡菖蒲町大字台,427-4,,
11446-0312-27.zip,202502031219,南埼玉郡菖蒲町大字台,511-3,,
11446-0312-27.zip,202502031219,南埼玉郡菖蒲町大字台,865-ｲ号,,
11446-0312-27.zip,202502031219,南埼玉郡菖蒲町大字台,900-内,,
11446-0312-27.zip,202502031219,南埼玉郡菖蒲町大字台,865-12,,
11446-0312-28.zip,202502031219,南埼玉郡菖蒲町,地区外-1369854,,
11446-0312-28.zip,202502031219,南埼玉郡菖蒲町,地区外-1369855,,
11446-0312-28.zip,202502031219,南埼玉郡菖蒲町,地区外-1369856,,
11446-0312-28.zip,202502031219,南埼玉郡菖蒲町,地区外-1369857,,
11446-0312-28.zip,202502031219,南埼玉郡菖蒲町,地区外-1369858,,
11446-0312-28.zip,202502031219,南埼玉郡菖蒲町,地区外-1369859,,
11446-0312-28.zip,202502031219,南埼玉郡菖蒲町,地区外-1369860,,
11446-0312-28.zip,202502031219,南埼玉郡菖蒲町,地区外-1369861,,
11446-0312-29.zip,202502031219,南埼玉郡菖蒲町,地区外-5014924,,
11446-0312-29.zip,202502031219,南埼玉郡菖蒲町,地区外-5014925,,
11446-0312-29.zip,202502031219,南埼玉郡菖蒲町,地区外-5014927,,
11446-0312-29.zip,202502031219,南埼玉郡菖蒲町,地区外-5014928,,
11446-0312-29.zip,202502031219,南埼玉郡菖蒲町,地区外-5014929,,
11446-0312-29.zip,202502031219,南埼玉郡菖蒲町,地区外-5014926,,
